Format Version,1.22,Take Name,DavidFail2,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-03 09.17.49.319 AM,Total Frames in Take,7056,Total Exported Frames,7056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
5450,15.138889,0.207868,-0.011122,0.717745,-0.664462,-4.295550,0.899752,0.264663,0.000000,-4.290863,1.119531,0.233825,0.798384,-4.216887,1.029053,0.220963,0.878008,-4.321035,0.814591,0.291191,1.000000,-4.354602,0.756074,0.199560,0.857427,-4.294362,0.779512,0.377774,0.902352,-4.290863,1.119531,0.233825,-4.216887,1.029053,0.220963,-4.321035,0.814591,0.291191,-4.354602,0.756074,0.199560,-4.294362,0.779512,0.377774,,,,,,,,,
5451,15.141667,0.207416,-0.011611,0.722765,-0.659131,-4.293347,0.898596,0.262911,0.000000,-4.285405,1.118251,0.231860,0.798384,-4.212728,1.026694,0.219236,0.878008,-4.320120,0.813841,0.289475,1.000000,-4.354355,0.755724,0.197837,0.857427,-4.294129,0.778469,0.376146,0.902352,-4.285405,1.118251,0.231860,-4.212728,1.026694,0.219236,,,,-4.354355,0.755724,0.197837,-4.294129,0.778469,0.376146,,,,,,,,,
5452,15.144444,0.215014,-0.020027,0.728431,-0.650198,-4.292259,0.897419,0.262532,0.000000,-4.279739,1.116779,0.230907,0.798384,-4.209517,1.023506,0.217014,0.878008,-4.320496,0.813362,0.289787,0.000000,-4.357919,0.755940,0.198961,0.857427,-4.293626,0.777509,0.375991,0.902352,-4.279739,1.116779,0.230907,-4.209517,1.023506,0.217014,,,,-4.357919,0.755940,0.198961,-4.293626,0.777509,0.375991,,,,,,,,,
5453,15.147222,0.215286,-0.024584,0.732191,-0.645712,-4.290321,0.896357,0.260044,0.000000,-4.275020,1.115662,0.229273,0.798384,-4.206120,1.021519,0.214646,0.878008,-4.319547,0.812570,0.287086,0.000000,-4.358176,0.756038,0.196206,0.857427,-4.292741,0.775996,0.373007,0.902352,-4.275020,1.115662,0.229273,-4.206120,1.021519,0.214646,-4.319547,0.812570,0.287086,-4.358176,0.756038,0.196206,-4.292741,0.775996,0.373007,,,,,,,,,
5454,15.150000,0.217821,-0.028350,0.736090,-0.640252,-4.287215,0.896576,0.258868,0.000000,-4.268951,1.115628,0.227911,0.798384,-4.201533,1.020490,0.212825,0.878008,-4.317461,0.813229,0.286149,0.000000,-4.357557,0.757242,0.195568,0.857427,-4.290574,0.776291,0.371889,0.902352,-4.268951,1.115628,0.227911,-4.201533,1.020490,0.212825,-4.317461,0.813229,0.286149,-4.357557,0.757242,0.195568,-4.290574,0.776291,0.371889,,,,,,,,,
5455,15.152778,0.225926,-0.030075,0.738388,-0.634694,-4.283616,0.895717,0.259695,0.000000,-4.263287,1.114214,0.226205,0.798384,-4.197163,1.018157,0.211214,0.878008,-4.314434,0.813009,0.288249,0.000000,-4.356383,0.756555,0.198805,0.857427,-4.286811,0.776650,0.374003,0.902352,-4.263287,1.114214,0.226205,-4.197163,1.018157,0.211214,,,,-4.356383,0.756555,0.198805,-4.286811,0.776650,0.374003,,,,,,,,,
5456,15.155556,0.223003,-0.028542,0.745655,-0.627259,-4.283283,0.893469,0.257387,1.675807,-4.258351,1.111441,0.223590,0.798384,-4.193999,1.014066,0.209419,0.878008,-4.315982,0.811453,0.285845,0.000000,-4.358222,0.755617,0.196150,0.857427,-4.289860,0.774767,0.371929,0.902352,-4.258351,1.111441,0.223590,-4.193999,1.014066,0.209419,-0.000000,0.000000,0.000000,-4.358222,0.755617,0.196150,-4.289860,0.774767,0.371929,,,,,,,,,
5457,15.158333,0.221325,-0.028198,0.751498,-0.620863,-4.280768,0.894636,0.255865,0.000000,-4.252001,1.112102,0.221860,0.798384,-4.189223,1.013636,0.208174,0.878008,-4.314988,0.813227,0.284281,0.000000,-4.357697,0.757963,0.194454,0.857427,-4.289932,0.776249,0.370556,0.902352,-4.252001,1.112102,0.221860,-4.189223,1.013636,0.208174,,,,-4.357697,0.757963,0.194454,-4.289932,0.776249,0.370556,,,,,,,,,
5458,15.161111,0.222944,-0.030596,0.755558,-0.615217,-4.277952,0.894577,0.254649,0.000000,-4.246170,1.111566,0.220279,0.798384,-4.184880,1.012185,0.206461,0.878008,-4.313236,0.813705,0.283294,0.000000,-4.357095,0.758966,0.193700,0.857427,-4.288379,0.776463,0.369513,0.902352,-4.246170,1.111566,0.220279,-4.184880,1.012185,0.206461,,,,-4.357095,0.758966,0.193700,-4.288379,0.776463,0.369513,,,,,,,,,
5459,15.163889,0.226237,-0.030538,0.758908,-0.609871,-4.274784,0.894157,0.254017,0.000000,-4.240539,1.110514,0.218066,0.798384,-4.180495,1.010315,0.204693,0.878008,-4.310925,0.813907,0.283337,0.000000,-4.355773,0.759099,0.194278,0.857427,-4.286189,0.776949,0.369714,0.902352,-4.240539,1.110514,0.218066,-4.180495,1.010315,0.204693,,,,-4.355773,0.759099,0.194278,-4.286189,0.776949,0.369714,,,,,,,,,
5460,15.166667,0.226446,-0.028850,0.762172,-0.605791,-4.271466,0.893080,0.251978,1.670556,-4.235082,1.108928,0.215081,0.798384,-4.175943,1.008106,0.202374,0.878008,-4.308445,0.813318,0.281579,0.000000,-4.353545,0.758499,0.192652,0.857427,-4.284313,0.776550,0.368207,0.902352,-4.235082,1.108928,0.215081,-4.175943,1.008106,0.202374,-0.000000,0.000000,0.000000,-4.353545,0.758499,0.192652,-4.284313,0.776550,0.368207,,,,,,,,,
5461,15.169444,0.230710,-0.029323,0.764855,-0.600758,-4.268427,0.892819,0.251913,1.669260,-4.229929,1.108000,0.213302,0.798384,-4.171969,1.006454,0.200931,0.878008,-4.306088,0.813669,0.282289,0.000000,-4.352330,0.758739,0.194021,0.857427,-4.281821,0.777235,0.369020,0.902352,-4.229929,1.108000,0.213302,-4.171969,1.006454,0.200931,-0.000000,0.000000,0.000000,-4.352330,0.758739,0.194021,-4.281821,0.777235,0.369020,,,,,,,,,
5462,15.172222,0.237805,-0.031197,0.768016,-0.593824,-4.265119,0.892811,0.251990,0.000000,-4.223911,1.107040,0.210958,0.798384,-4.167614,1.004534,0.198821,0.878008,-4.303576,0.814507,0.283537,0.000000,-4.351692,0.759483,0.196335,0.857427,-4.278801,0.778492,0.370300,0.902352,-4.223911,1.107040,0.210958,-4.167614,1.004534,0.198821,,,,-4.351692,0.759483,0.196335,-4.278801,0.778492,0.370300,,,,,,,,,
5463,15.175000,0.240979,-0.031038,0.770664,-0.589103,-4.261300,0.892884,0.251259,0.000000,-4.218082,1.106417,0.208695,0.798384,-4.162871,1.003271,0.197011,0.878008,-4.300427,0.815177,0.283451,0.000000,-4.349425,0.760087,0.196783,0.857427,-4.275693,0.779470,0.370353,0.902352,-4.218082,1.106417,0.208695,-4.162871,1.003271,0.197011,,,,-4.349425,0.760087,0.196783,-4.275693,0.779470,0.370353,,,,,,,,,
5464,15.177778,0.240296,-0.026692,0.775806,-0.582812,-4.258544,0.892442,0.250262,0.000000,-4.212049,1.104959,0.206099,0.798384,-4.158166,1.000964,0.195824,0.878008,-4.298998,0.815580,0.282840,0.000000,-4.348036,0.760360,0.196277,0.857427,-4.275470,0.780348,0.370269,0.902352,-4.212049,1.104959,0.206099,-4.158166,1.000964,0.195823,,,,-4.348036,0.760360,0.196277,-4.275470,0.780348,0.370269,,,,,,,,,
5465,15.180556,0.241588,-0.024998,0.779964,-0.576772,-4.255771,0.892051,0.249265,0.000000,-4.206375,1.103602,0.203642,0.798384,-4.153868,0.998826,0.194212,0.878008,-4.297299,0.815973,0.282331,0.000000,-4.346931,0.760784,0.196088,0.857427,-4.274383,0.781067,0.370053,0.902352,-4.206375,1.103602,0.203642,-4.153868,0.998826,0.194212,,,,-4.346931,0.760784,0.196088,-4.274383,0.781067,0.370053,,,,,,,,,
5466,15.183333,0.247463,-0.027229,0.781856,-0.571596,-4.251696,0.891290,0.248592,0.000000,-4.200483,1.102012,0.201167,0.798384,-4.149241,0.996608,0.191782,0.878008,-4.293689,0.815871,0.282568,0.000000,-4.344881,0.760733,0.197208,0.857427,-4.270185,0.781226,0.370237,0.902352,-4.200483,1.102012,0.201167,-4.149241,0.996608,0.191782,-4.293689,0.815871,0.282568,-4.344881,0.760733,0.197208,-4.270185,0.781226,0.370237,,,,,,,,,
5467,15.186111,0.247806,-0.023689,0.786758,-0.564838,-4.248825,0.891672,0.247691,0.000000,-4.194318,1.101172,0.198557,0.798384,-4.144551,0.994957,0.190461,0.878008,-4.292088,0.817193,0.282145,0.000000,-4.343600,0.761981,0.197025,0.857427,-4.269568,0.783055,0.370270,0.902352,-4.194318,1.101172,0.198557,-4.144551,0.994957,0.190461,-4.292088,0.817193,0.282145,-4.343600,0.761981,0.197025,-4.269568,0.783055,0.370270,,,,,,,,,
5468,15.188889,0.251193,-0.024232,0.790265,-0.558387,-4.246102,0.891179,0.246798,0.000000,-4.188849,1.099568,0.196087,0.798384,-4.140634,0.992606,0.188446,0.878008,-4.290262,0.817542,0.281917,0.000000,-4.342940,0.762534,0.197382,0.857427,-4.267828,0.783643,0.370157,0.902352,-4.188849,1.099568,0.196087,-4.140634,0.992606,0.188446,-4.290262,0.817542,0.281917,-4.342940,0.762534,0.197382,-4.267828,0.783643,0.370157,,,,,,,,,
5469,15.191667,0.258263,-0.026560,0.791269,-0.553613,-4.241675,0.890133,0.246587,0.000000,-4.183147,1.097628,0.193710,0.798384,-4.136052,0.990163,0.186140,0.878008,-4.286049,0.817155,0.282793,0.000000,-4.340384,0.762095,0.199346,0.857427,-4.262745,0.783626,0.370948,0.902352,-4.183147,1.097628,0.193710,-4.136052,0.990163,0.186140,-4.286049,0.817155,0.282793,-4.340384,0.762095,0.199346,-4.262745,0.783626,0.370948,,,,,,,,,
5470,15.194444,0.259556,-0.024404,0.795566,-0.546909,-4.238417,0.889623,0.245629,0.000000,-4.176837,1.095807,0.191118,0.798384,-4.131256,0.987625,0.184570,0.878008,-4.283900,0.817593,0.282354,0.000000,-4.338831,0.762597,0.199257,0.857427,-4.261262,0.784492,0.370845,0.902352,-4.176837,1.095807,0.191118,-4.131256,0.987625,0.184570,-4.283900,0.817593,0.282354,-4.338831,0.762597,0.199257,-4.261262,0.784492,0.370845,,,,,,,,,
5471,15.197222,0.264092,-0.031565,0.797580,-0.541411,-4.234056,0.888100,0.244533,0.000000,-4.170280,1.093569,0.189844,0.798384,-4.126368,0.984764,0.182280,0.878008,-4.280048,0.816602,0.281661,0.000000,-4.336948,0.762702,0.199173,0.857427,-4.256634,0.782861,0.369707,0.000000,-4.170280,1.093569,0.189844,-4.126368,0.984764,0.182280,-4.280048,0.816602,0.281661,-4.336948,0.762702,0.199173,,,,,,,,,,,,
5472,15.200000,0.265361,-0.032134,0.801735,-0.534577,-4.230937,0.888239,0.242893,0.000000,-4.164010,1.092448,0.187258,0.798384,-4.121809,0.982939,0.180130,0.878008,-4.278006,0.817630,0.280370,0.000000,-4.335816,0.764269,0.198165,0.857427,-4.255042,0.783909,0.368542,0.000000,-4.164010,1.092448,0.187258,-4.121809,0.982939,0.180130,-4.278006,0.817630,0.280370,-4.335816,0.764269,0.198165,,,,,,,,,,,,
5473,15.202778,0.263515,-0.020712,0.808231,-0.526207,-4.228561,0.889746,0.241936,0.012402,-4.157671,1.091749,0.183240,0.798384,-4.116953,0.981523,0.179192,0.878008,-4.277322,0.820630,0.280028,0.000000,-4.334422,0.766356,0.197925,0.857427,-4.256437,0.788474,0.369294,0.000000,-4.157671,1.091749,0.183240,-4.116953,0.981523,0.179192,-4.277322,0.820630,0.280028,-4.334422,0.766356,0.197925,-4.315629,0.799482,0.402039,,,,,,,,,
5474,15.205556,0.266030,-0.022462,0.811488,-0.519818,-4.225075,0.888542,0.240835,0.012952,-4.151514,1.089296,0.181149,0.798384,-4.112425,0.978476,0.177290,0.878008,-4.274666,0.820269,0.279374,0.000000,-4.332919,0.766564,0.197707,0.857427,-4.253852,0.788106,0.368655,0.000000,-4.151514,1.089296,0.181149,-4.112425,0.978476,0.177290,-4.274666,0.820269,0.279374,-4.332919,0.766564,0.197707,-4.315629,0.799482,0.402039,,,,,,,,,
5475,15.208333,0.268034,-0.019619,0.814686,-0.513867,-4.221026,0.887310,0.239548,0.013641,-4.145120,1.086606,0.177945,0.798384,-4.107291,0.975315,0.175241,0.878008,-4.271433,0.819995,0.278709,0.000000,-4.330205,0.766141,0.197514,0.857427,-4.251083,0.788493,0.368332,0.000000,-4.145120,1.086606,0.177945,-4.107291,0.975315,0.175241,-4.271433,0.819995,0.278709,-4.330205,0.766141,0.197514,-4.315629,0.799482,0.402039,,,,,,,,,
5476,15.211111,0.270787,-0.021725,0.817781,-0.507382,-4.217308,0.886848,0.238232,0.000000,-4.138793,1.084818,0.175629,0.798384,-4.102626,0.972973,0.173065,0.878008,-4.268496,0.820402,0.277860,0.000000,-4.328483,0.767182,0.197136,0.857427,-4.248141,0.788867,0.367469,0.000000,-4.138793,1.084818,0.175629,-4.102626,0.972973,0.173065,-4.268496,0.820402,0.277860,-4.328483,0.767182,0.197136,-4.248141,0.788867,0.367469,,,,,,,,,
5477,15.213889,0.273536,-0.023802,0.821040,-0.500504,-4.213705,0.886730,0.236633,0.000000,-4.132446,1.083250,0.172977,0.798384,-4.098036,0.970848,0.170597,0.878008,-4.265715,0.821216,0.276741,0.000000,-4.326939,0.768677,0.196502,0.857427,-4.245391,0.789657,0.366350,0.000000,-4.132446,1.083250,0.172977,-4.098036,0.970848,0.170597,,,,-4.326939,0.768677,0.196502,-4.245391,0.789657,0.366350,,,,,,,,,
5478,15.216667,0.275503,-0.014845,0.824651,-0.493790,-4.209791,0.887986,0.236287,0.000000,-4.126163,1.082370,0.169229,0.798384,-4.092831,0.969619,0.169410,0.878008,-4.262727,0.823811,0.277338,0.000000,-4.323871,0.770222,0.197735,0.857427,-4.243364,0.793908,0.367724,0.000000,-4.126163,1.082370,0.169229,-4.092831,0.969619,0.169410,,,,-4.323871,0.770222,0.197735,-4.243364,0.793908,0.367724,,,,,,,,,
5479,15.219444,0.274165,-0.005267,0.828080,-0.488969,-4.205620,0.888402,0.235262,0.000000,-4.119897,1.081095,0.166005,0.798384,-4.087272,0.968166,0.168572,0.878008,-4.259497,0.825264,0.276694,0.000000,-4.319905,0.770675,0.197208,0.857427,-4.241530,0.796811,0.367833,0.000000,-4.119897,1.081095,0.166004,-4.087272,0.968166,0.168572,,,,-4.319905,0.770675,0.197208,-4.241530,0.796811,0.367833,,,,,,,,,
5480,15.222222,0.268536,0.004090,0.833999,-0.481992,-4.203019,0.889733,0.232699,0.000000,-4.113436,1.080383,0.162677,0.798384,-4.082279,0.967114,0.167506,0.878008,-4.258556,0.827839,0.273814,0.000000,-4.317910,0.772878,0.193792,0.857427,-4.242913,0.800451,0.365704,0.000000,-4.113436,1.080383,0.162677,-4.082279,0.967114,0.167506,,,,-4.317910,0.772878,0.193792,-4.242913,0.800451,0.365704,,,,,,,,,
5481,15.225000,0.270419,0.005500,0.837639,-0.474558,-4.199450,0.890030,0.231530,0.000000,-4.106973,1.078724,0.159988,0.798384,-4.077538,0.965038,0.165745,0.878008,-4.255927,0.829322,0.273130,0.000000,-4.316093,0.774618,0.193540,0.857427,-4.240716,0.802447,0.365245,0.000000,-4.106973,1.078724,0.159988,-4.077538,0.965038,0.165745,,,,-4.316093,0.774618,0.193540,-4.240716,0.802447,0.365245,,,,,,,,,
5482,15.227778,0.273942,0.006219,0.839104,-0.469916,-4.194901,0.888390,0.231131,0.000000,-4.101083,1.075753,0.157857,0.798384,-4.072625,0.961855,0.164290,0.878008,-4.251726,0.828476,0.273405,0.000000,-4.312722,0.773748,0.194465,0.857427,-4.236347,0.802116,0.365639,0.000000,-4.101083,1.075753,0.157857,-4.072625,0.961855,0.164290,,,,-4.312722,0.773748,0.194465,-4.236347,0.802116,0.365639,,,,,,,,,
5483,15.230556,0.274567,0.010600,0.844189,-0.460267,-4.192392,0.887858,0.230456,1.636016,-4.094676,1.072465,0.155306,0.798384,-4.068381,0.958154,0.163404,0.878008,-4.250569,0.829573,0.273164,0.000000,-4.312110,0.774946,0.194578,0.857427,-4.236224,0.804153,0.365828,0.000000,-4.094676,1.072465,0.155306,-4.068381,0.958154,0.163404,-0.000000,0.000000,0.000000,-4.312110,0.774946,0.194578,-4.236224,0.804153,0.365828,,,,,,,,,
5484,15.233333,0.271224,0.013353,0.849725,-0.451914,-4.190219,0.887961,0.227941,0.000000,-4.088414,1.070357,0.152820,0.798384,-4.064234,0.955653,0.161898,0.878008,-4.249897,0.830971,0.270326,0.000000,-4.311498,0.776954,0.191366,0.857427,-4.237054,0.805873,0.363298,0.000000,-4.088414,1.070357,0.152820,-4.064234,0.955653,0.161898,,,,-4.311498,0.776954,0.191366,-4.237054,0.805873,0.363298,,,,,,,,,
5485,15.236111,0.271031,0.014859,0.854894,-0.442130,-4.187202,0.886577,0.226612,0.000000,-4.081330,1.066275,0.150616,0.798384,-4.059549,0.951173,0.160671,0.878008,-4.248233,0.831143,0.269134,0.000000,-4.310558,0.777798,0.190285,0.857427,-4.236342,0.806495,0.362352,0.000000,-4.081330,1.066275,0.150616,-4.059549,0.951173,0.160671,,,,-4.310558,0.777798,0.190285,-4.236342,0.806495,0.362352,,,,,,,,,
5486,15.238889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5487,15.241667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.045919,0.945563,0.158411,-4.067308,1.062939,0.147799,,,
5488,15.244444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.040901,0.941545,0.156993,-4.059525,1.060319,0.144243,,,
5489,15.247222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.036081,0.939152,0.156388,,,,,,
5490,15.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.030853,0.935978,0.155023,-4.044095,1.049450,0.136827,,,
5491,15.252778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.026554,0.931716,0.153655,,,,,,
5492,15.255556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.021719,0.929674,0.152256,,,,,,
5493,15.258333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.016612,0.926826,0.151236,,,,,,
5494,15.261111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.012230,0.923208,0.150319,,,,,,
5495,15.263889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.007841,0.920681,0.149695,,,,,,
5496,15.266667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5497,15.269444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5498,15.272222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5499,15.275000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5500,15.277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5501,15.280556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5502,15.283333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5503,15.286111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5504,15.288889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5505,15.291667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5506,15.294444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5507,15.297222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5508,15.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5509,15.302778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5510,15.305556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5511,15.308333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5512,15.311111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5513,15.313889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5514,15.316667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5515,15.319444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5516,15.322222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5517,15.325000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5518,15.327778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5519,15.330556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5520,15.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5521,15.336111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5522,15.338889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5523,15.341667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5524,15.344444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,15.347222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5526,15.350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5527,15.352778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5528,15.355556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5529,15.358333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5530,15.361111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5531,15.363889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5532,15.366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,15.369444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5534,15.372222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5535,15.375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5536,15.377778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5537,15.380556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,15.383333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5539,15.386111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5540,15.388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5541,15.391667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5542,15.394444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5543,15.397222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5544,15.400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5545,15.402778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5546,15.405556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5547,15.408333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5548,15.411111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5549,15.413889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.111515,0.913661,-0.019480
5550,15.416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.110996,0.912752,-0.019647
5551,15.419444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.110693,0.912177,-0.019700
5552,15.422222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.110505,0.911335,-0.019630
5553,15.425000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.110475,0.910636,-0.019440
5554,15.427778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.110121,0.907960,-0.018606
5555,15.430556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.110715,0.907199,-0.017753
5556,15.433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5557,15.436111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5558,15.438889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5559,15.441667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5560,15.444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561,15.447222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5562,15.450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.116594,0.897577,-0.008207
5563,15.452778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
