Format Version,1.22,Take Name,day 2 front left triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.07.29.815 AM,Total Frames in Take,1516,Total Exported Frames,1516,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
1050,2.916667,0.004896,0.109058,0.026550,-0.993669,0.233265,0.168272,-2.694813,0.000000,0.220665,0.167315,-2.684740,0.861206,0.180026,0.178274,-2.830527,0.959069,0.317917,0.156428,-2.686366,0.931788,0.214451,0.171072,-2.577620,0.932866,0.220665,0.167315,-2.684740,0.180026,0.178274,-2.830527,0.317917,0.156428,-2.686366,0.214451,0.171072,-2.577620,,,,,,,,,,,,,,,,,,,,,
1051,2.919444,0.005705,0.108941,0.028268,-0.993630,0.233063,0.168399,-2.694701,0.000000,0.220463,0.167500,-2.684623,0.861206,0.179826,0.178426,-2.830413,0.959069,0.317675,0.156262,-2.686260,0.931788,0.214290,0.171410,-2.577506,0.932866,0.220463,0.167500,-2.684623,0.179826,0.178426,-2.830413,0.317675,0.156262,-2.686260,0.214290,0.171410,-2.577506,,,,,,,,,,,,,,,,,,,,,
1052,2.922222,0.004500,0.109203,0.026230,-0.993663,0.233329,0.168223,-2.694884,0.000000,0.220727,0.167249,-2.684816,0.812043,0.180124,0.178282,-2.830607,0.900700,0.317988,0.156434,-2.686420,0.898362,0.214478,0.170926,-2.577694,0.830077,0.220727,0.167249,-2.684816,0.180124,0.178282,-2.830607,0.317988,0.156434,-2.686420,0.214478,0.170926,-2.577694,,,,,,,,,,,,,,,,,,,,,
1053,2.925000,0.005762,0.109484,0.027033,-0.993604,0.233191,0.168411,-2.694834,0.000000,0.220582,0.167485,-2.684770,0.813181,0.180074,0.178251,-2.830608,0.911791,0.317823,0.156484,-2.686299,0.911916,0.214285,0.171424,-2.577661,0.836546,0.220582,0.167485,-2.684770,0.180074,0.178251,-2.830608,0.317823,0.156484,-2.686299,0.214285,0.171424,-2.577661,,,,,,,,,,,,,,,,,,,,,
1054,2.927778,0.004548,0.108923,0.026746,-0.993680,0.233078,0.168350,-2.694730,0.000000,0.220480,0.167389,-2.684655,0.813181,0.179808,0.178469,-2.830423,0.911791,0.317729,0.156473,-2.686313,0.911916,0.214295,0.171069,-2.577530,0.836546,0.220480,0.167389,-2.684655,0.179808,0.178469,-2.830423,0.317729,0.156473,-2.686313,0.214295,0.171069,-2.577530,,,,,,,,,,,,,,,,,,,,,
1055,2.930556,0.005401,0.108678,0.027486,-0.993682,0.233141,0.168491,-2.694767,0.000000,0.220547,0.167566,-2.684684,0.921160,0.179816,0.178492,-2.830447,0.926850,0.317777,0.156487,-2.686377,0.965467,0.214424,0.171419,-2.577561,0.863403,0.220547,0.167566,-2.684684,0.179816,0.178492,-2.830447,0.317777,0.156487,-2.686377,0.214424,0.171419,-2.577561,,,,,,,,,,,,,,,,,,,,,
1056,2.933333,0.005057,0.109094,0.027061,-0.993650,0.233129,0.168479,-2.694586,0.000000,0.220528,0.167537,-2.684514,0.795587,0.179910,0.178508,-2.830305,0.878231,0.317769,0.156548,-2.686130,0.852268,0.214311,0.171323,-2.577394,0.830141,0.220528,0.167537,-2.684514,0.179910,0.178508,-2.830305,0.317769,0.156548,-2.686130,0.214311,0.171323,-2.577394,,,,,,,,,,,,,,,,,,,,,
1057,2.936111,0.005848,0.109580,0.026475,-0.993608,0.233260,0.168356,-2.694803,0.000000,0.220650,0.167418,-2.684741,0.795587,0.180157,0.178097,-2.830589,0.878231,0.317903,0.156523,-2.686249,0.852268,0.214329,0.171383,-2.577634,0.830141,0.220650,0.167418,-2.684741,0.180157,0.178097,-2.830589,0.317903,0.156523,-2.686249,0.214329,0.171383,-2.577634,,,,,,,,,,,,,,,,,,,,,
1058,2.938889,0.006291,0.109668,0.027327,-0.993573,0.233123,0.168444,-2.694822,0.000000,0.220510,0.167537,-2.684762,0.867095,0.180061,0.178187,-2.830624,0.958122,0.317744,0.156467,-2.686245,0.942708,0.214179,0.171588,-2.577659,0.939821,0.220510,0.167537,-2.684762,0.180061,0.178187,-2.830624,0.317744,0.156467,-2.686245,0.214179,0.171588,-2.577659,,,,,,,,,,,,,,,,,,,,,
1059,2.941667,0.006639,0.110036,0.026576,-0.993550,0.233146,0.168589,-2.694786,0.000000,0.220527,0.167672,-2.684733,0.867095,0.180166,0.178136,-2.830633,0.958122,0.317777,0.156739,-2.686138,0.942708,0.214114,0.171808,-2.577638,0.939821,0.220527,0.167672,-2.684733,0.180166,0.178136,-2.830633,0.317777,0.156739,-2.686138,0.214114,0.171808,-2.577638,,,,,,,,,,,,,,,,,,,,,
1060,2.944444,0.005271,0.108774,0.026904,-0.993688,0.233159,0.168436,-2.694772,0.000000,0.220564,0.167495,-2.684691,0.961918,0.179848,0.178391,-2.830460,0.980039,0.317807,0.156531,-2.686366,0.985796,0.214416,0.171327,-2.577569,0.969784,0.220564,0.167495,-2.684691,0.179848,0.178391,-2.830460,0.317807,0.156531,-2.686366,0.214416,0.171327,-2.577569,,,,,,,,,,,,,,,,,,,,,
1061,2.947222,0.005316,0.109790,0.026743,-0.993581,0.233183,0.168346,-2.694888,0.000000,0.220568,0.167403,-2.684833,0.815366,0.180146,0.178260,-2.830688,0.914734,0.317817,0.156469,-2.686308,0.914934,0.214200,0.171252,-2.577724,0.836002,0.220568,0.167403,-2.684833,0.180146,0.178260,-2.830688,0.317817,0.156469,-2.686308,0.214200,0.171252,-2.577724,,,,,,,,,,,,,,,,,,,,,
1062,2.950000,0.005478,0.108958,0.027042,-0.993663,0.233142,0.168570,-2.694717,0.000000,0.220544,0.167637,-2.684640,0.815366,0.179884,0.178488,-2.830429,0.914734,0.317784,0.156641,-2.686276,0.914934,0.214358,0.171512,-2.577522,0.836002,0.220544,0.167637,-2.684640,0.179884,0.178488,-2.830429,0.317784,0.156641,-2.686276,0.214358,0.171512,-2.577522,,,,,,,,,,,,,,,,,,,,,
1063,2.952778,0.005704,0.109282,0.026780,-0.993634,0.233199,0.168440,-2.694738,0.000000,0.220595,0.167506,-2.684669,0.928605,0.180022,0.178262,-2.830489,0.935667,0.317841,0.156556,-2.686237,0.976595,0.214340,0.171435,-2.577556,0.861621,0.220595,0.167506,-2.684669,0.180022,0.178262,-2.830489,0.317841,0.156556,-2.686237,0.214340,0.171435,-2.577556,,,,,,,,,,,,,,,,,,,,,
1064,2.955556,0.005459,0.109106,0.026080,-0.993673,0.233293,0.168509,-2.694781,0.000000,0.220693,0.167554,-2.684708,0.843563,0.180053,0.178302,-2.830510,0.928086,0.317954,0.156745,-2.686315,0.877239,0.214470,0.171437,-2.577592,0.921263,0.220693,0.167554,-2.684708,0.180053,0.178302,-2.830510,0.317954,0.156745,-2.686315,0.214470,0.171437,-2.577592,,,,,,,,,,,,,,,,,,,,,
1065,2.958333,0.006534,0.109418,0.027116,-0.993605,0.233175,0.168572,-2.694779,0.000000,0.220568,0.167665,-2.684711,0.843563,0.180039,0.178225,-2.830558,0.928086,0.317805,0.156630,-2.686239,0.877239,0.214291,0.171769,-2.577607,0.921263,0.220568,0.167665,-2.684711,0.180039,0.178225,-2.830558,0.317805,0.156630,-2.686239,0.214291,0.171769,-2.577607,,,,,,,,,,,,,,,,,,,,,
1066,2.961111,0.005486,0.108937,0.026911,-0.993669,0.233259,0.168395,-2.694726,0.000000,0.220661,0.167460,-2.684648,0.926386,0.179991,0.178295,-2.830436,0.935687,0.317903,0.156489,-2.686288,0.976885,0.214479,0.171338,-2.577530,0.863386,0.220661,0.167460,-2.684648,0.179991,0.178295,-2.830436,0.317903,0.156489,-2.686288,0.214479,0.171338,-2.577530,,,,,,,,,,,,,,,,,,,,,
1067,2.963889,0.005142,0.108802,0.026356,-0.993701,0.233132,0.168502,-2.694696,0.000000,0.220538,0.167546,-2.684616,0.926386,0.179817,0.178416,-2.830387,0.935687,0.317793,0.156691,-2.686288,0.976885,0.214380,0.171356,-2.577494,0.863386,0.220538,0.167546,-2.684616,0.179817,0.178416,-2.830387,0.317793,0.156691,-2.686288,0.214380,0.171356,-2.577494,,,,,,,,,,,,,,,,,,,,,
1068,2.966667,0.005064,0.109045,0.026559,-0.993669,0.233181,0.168424,-2.694731,0.000000,0.220581,0.167470,-2.684657,0.931170,0.179938,0.178383,-2.830446,0.925925,0.317833,0.156578,-2.686282,0.960755,0.214372,0.171263,-2.577537,0.856149,0.220581,0.167470,-2.684657,0.179938,0.178383,-2.830446,0.317833,0.156578,-2.686282,0.214372,0.171263,-2.577537,,,,,,,,,,,,,,,,,,,,,
1069,2.969444,0.005675,0.109059,0.026594,-0.993663,0.233222,0.168416,-2.694730,0.000000,0.220622,0.167478,-2.684655,0.811072,0.179980,0.178223,-2.830457,0.888250,0.317872,0.156564,-2.686268,0.892790,0.214414,0.171401,-2.577540,0.804636,0.220622,0.167478,-2.684655,0.179980,0.178223,-2.830457,0.317872,0.156564,-2.686268,0.214414,0.171401,-2.577540,,,,,,,,,,,,,,,,,,,,,
1070,2.972222,0.005152,0.108766,0.026900,-0.993690,0.233193,0.168500,-2.694726,0.000000,0.220598,0.167557,-2.684645,0.811072,0.179880,0.178486,-2.830412,0.888250,0.317841,0.156596,-2.686324,0.892790,0.214451,0.171363,-2.577522,0.804636,0.220598,0.167557,-2.684645,0.179880,0.178486,-2.830412,0.317841,0.156596,-2.686324,0.214451,0.171363,-2.577522,,,,,,,,,,,,,,,,,,,,,
1071,2.975000,0.006271,0.109319,0.027014,-0.993620,0.233230,0.168485,-2.694780,0.000000,0.220625,0.167569,-2.684711,0.926152,0.180065,0.178192,-2.830544,0.929974,0.317864,0.156560,-2.686263,0.971373,0.214367,0.171617,-2.577603,0.860803,0.220625,0.167569,-2.684711,0.180065,0.178192,-2.830544,0.317864,0.156560,-2.686263,0.214367,0.171617,-2.577603,,,,,,,,,,,,,,,,,,,,,
1072,2.977778,0.004997,0.108900,0.026573,-0.993685,0.233282,0.168353,-2.694831,0.000000,0.220685,0.167398,-2.684754,0.819971,0.180000,0.178333,-2.830529,0.911171,0.317936,0.156505,-2.686409,0.917669,0.214507,0.171175,-2.577632,0.832363,0.220685,0.167398,-2.684754,0.180000,0.178333,-2.830529,0.317936,0.156505,-2.686409,0.214507,0.171175,-2.577632,,,,,,,,,,,,,,,,,,,,,
1073,2.980556,0.005169,0.108996,0.026217,-0.993683,0.233260,0.168367,-2.694793,0.000000,0.220662,0.167408,-2.684718,0.819971,0.179995,0.178254,-2.830505,0.911171,0.317921,0.156579,-2.686351,0.917669,0.214462,0.171227,-2.577599,0.832363,0.220662,0.167408,-2.684718,0.179995,0.178254,-2.830505,0.317921,0.156579,-2.686351,0.214462,0.171227,-2.577599,,,,,,,,,,,,,,,,,,,,,
1074,2.983333,0.005619,0.109138,0.027877,-0.993620,0.233164,0.168513,-2.694700,0.000000,0.220560,0.167602,-2.684628,0.801089,0.179972,0.178507,-2.830433,0.890879,0.317781,0.156442,-2.686227,0.874525,0.214341,0.171500,-2.577513,0.833678,0.220560,0.167602,-2.684628,0.179972,0.178507,-2.830433,0.317781,0.156442,-2.686227,0.214341,0.171500,-2.577513,,,,,,,,,,,,,,,,,,,,,
1075,2.986111,0.004869,0.109404,0.025745,-0.993652,0.233108,0.168596,-2.694693,0.000000,0.220503,0.167620,-2.684628,0.801089,0.179946,0.178493,-2.830444,0.890879,0.317774,0.156890,-2.686186,0.874525,0.214210,0.171382,-2.577513,0.833678,0.220503,0.167620,-2.684628,0.179946,0.178493,-2.830444,0.317774,0.156890,-2.686186,0.214210,0.171382,-2.577513,,,,,,,,,,,,,,,,,,,,,
1076,2.988889,0.006142,0.109203,0.026955,-0.993635,0.233173,0.168481,-2.694732,0.000000,0.220569,0.167562,-2.684660,0.828823,0.179976,0.178215,-2.830482,0.899021,0.317810,0.156567,-2.686237,0.908328,0.214335,0.171582,-2.577550,0.805431,0.220569,0.167562,-2.684660,0.179976,0.178215,-2.830482,0.317810,0.156567,-2.686237,0.214335,0.171582,-2.577550,,,,,,,,,,,,,,,,,,,,,
1077,2.991667,0.005376,0.108666,0.027703,-0.993678,0.233122,0.168469,-2.694731,0.000000,0.220528,0.167549,-2.684648,0.855020,0.179799,0.178507,-2.830409,0.960497,0.317753,0.156428,-2.686344,0.928982,0.214409,0.171394,-2.577525,0.931164,0.220528,0.167549,-2.684648,0.179799,0.178507,-2.830409,0.317753,0.156428,-2.686344,0.214409,0.171394,-2.577525,,,,,,,,,,,,,,,,,,,,,
1078,2.994444,0.004186,0.108313,0.026919,-0.993744,0.233234,0.168309,-2.694877,0.000000,0.220648,0.167344,-2.684788,0.855020,0.179803,0.178550,-2.830498,0.960497,0.317891,0.156404,-2.686572,0.928982,0.214593,0.170940,-2.577652,0.931164,0.220648,0.167344,-2.684788,0.179803,0.178550,-2.830498,0.317891,0.156404,-2.686572,0.214593,0.170940,-2.577652,,,,,,,,,,,,,,,,,,,,,
1079,2.997222,0.004820,0.108825,0.027435,-0.993671,0.233112,0.168326,-2.694741,0.000000,0.220515,0.167387,-2.684663,0.829429,0.179829,0.178469,-2.830427,0.906873,0.317747,0.156331,-2.686337,0.917389,0.214356,0.171116,-2.577538,0.830066,0.220515,0.167387,-2.684663,0.179829,0.178469,-2.830427,0.317747,0.156331,-2.686337,0.214356,0.171116,-2.577538,,,,,,,,,,,,,,,,,,,,,
1080,3.000000,0.005887,0.109369,0.026584,-0.993628,0.233207,0.168508,-2.694787,0.000000,0.220601,0.167575,-2.684719,0.912360,0.180048,0.178257,-2.830550,0.912638,0.317851,0.156657,-2.686268,0.934251,0.214327,0.171545,-2.577610,0.857601,0.220601,0.167575,-2.684719,0.180048,0.178257,-2.830550,0.317851,0.156657,-2.686268,0.214327,0.171545,-2.577610,,,,,,,,,,,,,,,,,,,,,
1081,3.002778,0.004950,0.108988,0.026906,-0.993667,0.233306,0.168208,-2.694917,0.000000,0.220707,0.167260,-2.684842,0.912360,0.180055,0.178245,-2.830623,0.912638,0.317951,0.156304,-2.686481,0.934251,0.214511,0.171024,-2.577721,0.857601,0.220707,0.167260,-2.684842,0.180055,0.178245,-2.830623,0.317951,0.156304,-2.686481,0.214511,0.171024,-2.577721,,,,,,,,,,,,,,,,,,,,,
1082,3.005556,0.005459,0.109189,0.026254,-0.993659,0.233207,0.168518,-2.694663,0.000000,0.220606,0.167567,-2.684592,0.805324,0.179994,0.178334,-2.830400,0.869839,0.317863,0.156724,-2.686182,0.873267,0.214366,0.171448,-2.577477,0.812113,0.220606,0.167567,-2.684592,0.179994,0.178334,-2.830400,0.317863,0.156724,-2.686182,0.214366,0.171448,-2.577477,,,,,,,,,,,,,,,,,,,,,
1083,3.008333,0.006108,0.109373,0.027431,-0.993604,0.233232,0.168429,-2.694821,0.000000,0.220624,0.167520,-2.684753,0.805324,0.180092,0.178235,-2.830588,0.869839,0.317855,0.156434,-2.686298,0.873267,0.214356,0.171528,-2.577645,0.812113,0.220624,0.167520,-2.684753,0.180092,0.178235,-2.830588,0.317855,0.156434,-2.686298,0.214356,0.171528,-2.577645,,,,,,,,,,,,,,,,,,,,,
1084,3.011111,0.005614,0.109194,0.025894,-0.993667,0.233285,0.168434,-2.694716,0.000000,0.220684,0.167478,-2.684644,0.794241,0.180065,0.178161,-2.830457,0.864929,0.317950,0.156701,-2.686231,0.851193,0.214442,0.171397,-2.577531,0.805134,0.220684,0.167478,-2.684644,0.180065,0.178161,-2.830457,0.317950,0.156701,-2.686231,0.214442,0.171397,-2.577531,,,,,,,,,,,,,,,,,,,,,
1085,3.013889,0.005774,0.108786,0.027285,-0.993674,0.233240,0.168436,-2.694744,0.000000,0.220644,0.167516,-2.684662,0.819098,0.179938,0.178313,-2.830442,0.911040,0.317878,0.156466,-2.686327,0.913627,0.214499,0.171451,-2.577544,0.834134,0.220644,0.167516,-2.684662,0.179938,0.178313,-2.830442,0.317878,0.156466,-2.686327,0.214499,0.171451,-2.577544,,,,,,,,,,,,,,,,,,,,,
1086,3.016667,0.005928,0.109032,0.027481,-0.993641,0.233180,0.168371,-2.694818,0.000000,0.220579,0.167459,-2.684742,0.819098,0.179949,0.178233,-2.830545,0.911040,0.317808,0.156367,-2.686357,0.913627,0.214383,0.171426,-2.577628,0.834134,0.220579,0.167459,-2.684742,0.179949,0.178233,-2.830545,0.317808,0.156367,-2.686357,0.214383,0.171426,-2.577628,,,,,,,,,,,,,,,,,,,,,
1087,3.019444,0.005571,0.109280,0.027485,-0.993615,0.233196,0.168320,-2.694787,0.000000,0.220590,0.167399,-2.684718,0.923500,0.180035,0.178272,-2.830534,0.923701,0.317821,0.156316,-2.686290,0.961100,0.214338,0.171292,-2.577605,0.865382,0.220590,0.167399,-2.684718,0.180035,0.178272,-2.830534,0.317821,0.156316,-2.686290,0.214338,0.171292,-2.577605,,,,,,,,,,,,,,,,,,,,,
1088,3.022222,0.005573,0.108944,0.026435,-0.993681,0.233279,0.168382,-2.694807,0.000000,0.220681,0.167438,-2.684730,0.923500,0.180002,0.178195,-2.830520,0.923701,0.317934,0.156557,-2.686367,0.961100,0.214496,0.171340,-2.577613,0.865382,0.220681,0.167438,-2.684730,0.180002,0.178195,-2.830520,0.317934,0.156557,-2.686367,0.214496,0.171340,-2.577613,,,,,,,,,,,,,,,,,,,,,
1089,3.025000,0.005598,0.109322,0.027012,-0.993623,0.233193,0.168339,-2.694813,0.000000,0.220587,0.167409,-2.684745,0.818653,0.180033,0.178220,-2.830566,0.910506,0.317829,0.156416,-2.686307,0.915082,0.214324,0.171312,-2.577632,0.833878,0.220587,0.167409,-2.684745,0.180033,0.178220,-2.830566,0.317829,0.156416,-2.686307,0.214324,0.171312,-2.577632,,,,,,,,,,,,,,,,,,,,,
1090,3.027778,0.006243,0.109384,0.028247,-0.993578,0.233164,0.168420,-2.694793,0.000000,0.220555,0.167532,-2.684726,0.915971,0.180045,0.178301,-2.830562,0.926356,0.317768,0.156285,-2.686266,0.959967,0.214290,0.171561,-2.577618,0.864583,0.220555,0.167532,-2.684726,0.180045,0.178301,-2.830562,0.317768,0.156285,-2.686266,0.214290,0.171561,-2.577618,,,,,,,,,,,,,,,,,,,,,
1091,3.030556,0.005704,0.109437,0.026355,-0.993628,0.233283,0.168298,-2.694747,0.000000,0.220676,0.167355,-2.684682,0.915971,0.180138,0.178062,-2.830515,0.926356,0.317931,0.156486,-2.686220,0.959967,0.214385,0.171289,-2.577572,0.864583,0.220676,0.167355,-2.684682,0.180138,0.178062,-2.830515,0.317931,0.156486,-2.686220,0.214385,0.171289,-2.577572,,,,,,,,,,,,,,,,,,,,,
1092,3.033333,0.005789,0.109460,0.026963,-0.993609,0.233188,0.168315,-2.694938,0.000000,0.220580,0.167388,-2.684873,0.913717,0.180063,0.178139,-2.830709,0.926619,0.317822,0.156400,-2.686405,0.967757,0.214288,0.171334,-2.577764,0.851725,0.220580,0.167388,-2.684873,0.180063,0.178139,-2.830709,0.317822,0.156400,-2.686405,0.214288,0.171334,-2.577764,,,,,,,,,,,,,,,,,,,,,
1093,3.036111,0.006318,0.109786,0.027433,-0.993556,0.233183,0.168466,-2.694906,0.000000,0.220567,0.167562,-2.684849,0.825415,0.180155,0.178215,-2.830721,0.911799,0.317799,0.156470,-2.686308,0.927143,0.214211,0.171618,-2.577747,0.838844,0.220567,0.167562,-2.684849,0.180155,0.178215,-2.830721,0.317799,0.156470,-2.686308,0.214211,0.171618,-2.577747,,,,,,,,,,,,,,,,,,,,,
1094,3.038889,0.005624,0.109378,0.026027,-0.993644,0.233305,0.168495,-2.694812,0.000000,0.220700,0.167542,-2.684745,0.825415,0.180138,0.178235,-2.830573,0.911799,0.317963,0.156739,-2.686296,0.927143,0.214420,0.171463,-2.577634,0.838844,0.220700,0.167542,-2.684745,0.180138,0.178235,-2.830573,0.317963,0.156739,-2.686296,0.214420,0.171463,-2.577634,,,,,,,,,,,,,,,,,,,,,
1095,3.041667,0.005953,0.109480,0.028060,-0.993575,0.233110,0.168294,-2.694782,0.000000,0.220499,0.167395,-2.684718,0.825471,0.180014,0.178224,-2.830557,0.905194,0.317717,0.156192,-2.686244,0.915559,0.214210,0.171365,-2.577609,0.833079,0.220499,0.167395,-2.684718,0.180014,0.178224,-2.830557,0.317717,0.156192,-2.686244,0.214210,0.171365,-2.577609,,,,,,,,,,,,,,,,,,,,,
1096,3.044444,0.004882,0.109114,0.025693,-0.993685,0.233292,0.168317,-2.694793,0.000000,0.220693,0.167339,-2.684721,0.825471,0.180049,0.178206,-2.830513,0.905194,0.317964,0.156619,-2.686336,0.915559,0.214462,0.171103,-2.577602,0.833079,0.220693,0.167339,-2.684721,0.180049,0.178206,-2.830513,0.317964,0.156619,-2.686336,0.214462,0.171103,-2.577602,,,,,,,,,,,,,,,,,,,,,
1097,3.047222,0.005168,0.108765,0.027661,-0.993669,0.233267,0.168284,-2.694805,0.000000,0.220670,0.167358,-2.684725,0.808791,0.179970,0.178368,-2.830490,0.873049,0.317897,0.156250,-2.686404,0.865466,0.214528,0.171159,-2.577601,0.808567,0.220670,0.167358,-2.684725,0.179970,0.178368,-2.830490,0.317897,0.156250,-2.686404,0.214528,0.171159,-2.577601,,,,,,,,,,,,,,,,,,,,,
1098,3.050000,0.004362,0.108747,0.025856,-0.993724,0.233242,0.168379,-2.694741,0.000000,0.220650,0.167393,-2.684661,0.912612,0.179905,0.178426,-2.830413,0.902585,0.317917,0.156654,-2.686356,0.917500,0.214496,0.171041,-2.577533,0.850575,0.220650,0.167393,-2.684661,0.179905,0.178426,-2.830413,0.317917,0.156654,-2.686356,0.214496,0.171041,-2.577533,,,,,,,,,,,,,,,,,,,,,
1099,3.052778,0.006437,0.109066,0.029206,-0.993585,0.233084,0.168385,-2.694719,0.000000,0.220479,0.167523,-2.684644,0.912612,0.179898,0.178348,-2.830456,0.902585,0.317668,0.156086,-2.686244,0.917500,0.214290,0.171581,-2.577533,0.850575,0.220479,0.167523,-2.684644,0.179898,0.178348,-2.830456,0.317668,0.156086,-2.686244,0.214290,0.171581,-2.577533,,,,,,,,,,,,,,,,,,,,,
1100,3.055556,0.005997,0.108819,0.027211,-0.993671,0.233248,0.168473,-2.694751,0.000000,0.220652,0.167556,-2.684670,0.918014,0.179952,0.178282,-2.830457,0.927073,0.317886,0.156515,-2.686325,0.976919,0.214501,0.171540,-2.577554,0.850837,0.220652,0.167556,-2.684670,0.179952,0.178282,-2.830457,0.317886,0.156515,-2.686325,0.214501,0.171540,-2.577554,,,,,,,,,,,,,,,,,,,,,
1101,3.058333,0.005568,0.108415,0.028603,-0.993679,0.233178,0.168400,-2.694664,0.000000,0.220588,0.167505,-2.684575,0.812287,0.179806,0.178512,-2.830317,0.871461,0.317791,0.156205,-2.686317,0.951780,0.214529,0.171379,-2.577449,0.815899,0.220588,0.167505,-2.684575,0.179806,0.178512,-2.830317,0.317791,0.156205,-2.686317,0.214529,0.171379,-2.577449,,,,,,,,,,,,,,,,,,,,,
1102,3.061111,0.005102,0.109218,0.026928,-0.993640,0.233276,0.168271,-2.694890,0.000000,0.220672,0.167327,-2.684820,0.812287,0.180088,0.178270,-2.830623,0.871461,0.317917,0.156363,-2.686412,0.951780,0.214428,0.171125,-2.577703,0.815899,0.220672,0.167327,-2.684820,0.180088,0.178270,-2.830623,0.317917,0.156363,-2.686412,0.214428,0.171125,-2.577703,,,,,,,,,,,,,,,,,,,,,
1103,3.063889,0.006649,0.109485,0.027641,-0.993582,0.233163,0.168503,-2.694843,0.000000,0.220552,0.167611,-2.684777,0.918488,0.180055,0.178197,-2.830630,0.930560,0.317778,0.156471,-2.686290,0.968943,0.214265,0.171734,-2.577674,0.867006,0.220552,0.167611,-2.684777,0.180055,0.178197,-2.830630,0.317778,0.156471,-2.686290,0.214265,0.171734,-2.577674,,,,,,,,,,,,,,,,,,,,,
1104,3.066667,0.005621,0.109108,0.026113,-0.993671,0.233342,0.168434,-2.694725,0.000000,0.220743,0.167483,-2.684651,0.918488,0.180104,0.178189,-2.830456,0.930560,0.318003,0.156663,-2.686255,0.968943,0.214520,0.171401,-2.577537,0.867006,0.220743,0.167483,-2.684651,0.180104,0.178189,-2.830456,0.318003,0.156663,-2.686255,0.214520,0.171401,-2.577536,,,,,,,,,,,,,,,,,,,,,
1105,3.069444,0.004750,0.108919,0.026739,-0.993680,0.233150,0.168401,-2.694777,0.000000,0.220552,0.167444,-2.684701,0.798834,0.179877,0.178467,-2.830473,0.878725,0.317800,0.156525,-2.686357,0.845709,0.214369,0.171167,-2.577578,0.820061,0.220552,0.167444,-2.684701,0.179877,0.178467,-2.830473,0.317800,0.156525,-2.686357,0.214369,0.171167,-2.577578,,,,,,,,,,,,,,,,,,,,,
1106,3.072222,0.005355,0.108898,0.027405,-0.993661,0.233200,0.168346,-2.694775,0.000000,0.220602,0.167419,-2.684697,0.922768,0.179933,0.178346,-2.830478,0.931664,0.317834,0.156356,-2.686348,0.969882,0.214431,0.171264,-2.577577,0.865275,0.220602,0.167419,-2.684697,0.179933,0.178346,-2.830478,0.317834,0.156356,-2.686348,0.214431,0.171264,-2.577577,,,,,,,,,,,,,,,,,,,,,
1107,3.075000,0.006624,0.109402,0.027765,-0.993588,0.233284,0.168327,-2.694764,0.000000,0.220675,0.167437,-2.684696,0.922768,0.180157,0.178045,-2.830542,0.931664,0.317898,0.156274,-2.686226,0.969882,0.214406,0.171553,-2.577591,0.865275,0.220675,0.167437,-2.684696,0.180157,0.178045,-2.830542,0.317898,0.156274,-2.686226,0.214406,0.171553,-2.577591,,,,,,,,,,,,,,,,,,,,,
1108,3.077778,0.005910,0.109639,0.026027,-0.993613,0.233279,0.168479,-2.694760,0.000000,0.220668,0.167533,-2.684699,0.839796,0.180181,0.178144,-2.830554,0.926217,0.317931,0.156723,-2.686194,0.872455,0.214333,0.171516,-2.577593,0.925564,0.220668,0.167533,-2.684699,0.180181,0.178144,-2.830554,0.317931,0.156723,-2.686194,0.214333,0.171516,-2.577593,,,,,,,,,,,,,,,,,,,,,
1109,3.080556,0.005030,0.108800,0.026392,-0.993701,0.233332,0.168326,-2.694790,0.000000,0.220738,0.167368,-2.684710,0.800305,0.180019,0.178273,-2.830478,0.881074,0.317993,0.156508,-2.686384,0.856072,0.214580,0.171153,-2.577587,0.828094,0.220738,0.167368,-2.684710,0.180019,0.178273,-2.830478,0.317993,0.156508,-2.686384,0.214580,0.171153,-2.577587,,,,,,,,,,,,,,,,,,,,,
1110,3.083333,0.004860,0.109120,0.026851,-0.993654,0.233158,0.168379,-2.694876,0.000000,0.220557,0.167427,-2.684805,0.800305,0.179943,0.178430,-2.830596,0.881074,0.317803,0.156484,-2.686420,0.856072,0.214331,0.171174,-2.577685,0.828094,0.220557,0.167427,-2.684805,0.179943,0.178430,-2.830596,0.317803,0.156484,-2.686420,0.214331,0.171174,-2.577685,,,,,,,,,,,,,,,,,,,,,
